China,"5,388,000,000,000","5,523,000,000,000"
United States,"4,103,000,000,000","3,913,000,000,000"
European Union,"3,166,000,000,000","2,771,000,000,000"
India,"1,218,000,000,000","973,000,000,000"
Russia,"1,064,000,000,000","1,065,000,000,000"
Japan,"980,000,000,000","934,000,000,000"
Canada,"633,000,000,000","528,000,000,000"
Germany,"591,000,000,000","533,000,000,000"
Brazil,"577,000,000,000","518,000,000,000"
France,"534,000,000,000","431,000,000,000"
"Korea, South","513,000,000,000","495,000,000,000"
United Kingdom,"335,000,000,000","309,000,000,000"
Saudi Arabia,"293,000,000,000","272,000,000,000"
Mexico,"286,000,000,000","238,000,000,000"
Italy,"267,000,000,000","291,000,000,000"
Spain,"264,000,000,000","234,000,000,000"
Iran,"258,000,000,000","218,000,000,000"
Taiwan,"258,000,000,000","249,500,000,000"
Turkey,"239,000,000,000","207,000,000,000"
South Africa,"235,000,000,000","212,000,000,000"
Australia,"235,000,000,000","224,000,000,000"
Indonesia,"216,000,000,000","195,000,000,000"
Ukraine,"171,000,000,000","143,000,000,000"
Thailand,"164,000,000,000","164,000,000,000"
Egypt,"162,000,000,000","143,000,000,000"
